Skills ID;Skills
197;Resolving Malfunctions within Electrical and Instrument Systems 
198;Restoration
199;Rigging
200;Rough to Finish
201;Safety Procedures and Regulations
202;Sales
203;Sanding
204;Sawing
205;Schedule Inspections
206;Scheduling
207;Schematics
208;Service
209;Service Advising
210;Service Aircraft
211;Service Writing
212;Sound Knowledge of Engineering Fundamentals
213;Stocking
214;Strictly Abiding by Safety Protocols
215;Supervising
216;Supervising Apprentices
217;Supervision
218;Teaching
219;Teamwork
220;Technical Skills
221;Technical Writing
222;Terminating and Setting Switchgear, Panels and other Distribution Equipment
223;Test Building Materials
224;Testing Aircraft a Engines and Systems
225;Testing and Repair of Equipment
226;Time Management
227;Towing
228;Training New Staff
229;Trimming
230;Troubleshooting Abilities
231;Troubleshooting Motors
232;Truck Driving
233;Understand and Design Within AASHTO Guidelines
234;Understand Diagrams, Drafts, Flow-Charts, and Other Information and Documentation
235;Understanding Limitations and Calling in Help as Appropriate
236;Use Software to Design Within Industry and Government Standards
237;Using Hand Tools
238;Using Power Tools for Drilling and Cutting
239;Verbal
240;Visual Acuity
241;Woodwork
242;Work Effectively Under Pressure
243;Working Independently
244;Working from Ladders and Scaffolds
245;Working in Adverse Conditions
246;Working Odd Hours
